reporter,argentina,australia,austria,bangladesh,belgium,brazil,canada,chile,china,colombia,czechia,denmark,egypt,finland,france,germany,hongkong,india,indonesia,iran,ireland,israel,italy,japan,korea,malaysia,mexico,netherlands,newzealand,nigeria,norway,pakistan,peru,philippines,poland,portugal,romania,russia,saudiarabia,singapore,southafrica,spain,sweden,switzerland,thailand,turkey,unitedarab,unitedkingdom,usa,vietnam
saudiarabia,0,1244,1197,0,162,0,107,404,0,0,0,334,519,59,297,1304,1291,83314,384,0,191,0,3585,0,341,0,601,271731,793,0,1586,0,0,0,554,804,0,0,0,337,163,338,170,955,449,2063,28152,8234,5858,0
singapore,1516,16718,19906,13400,2109,5265,2119,1072,115132,1465,216,2539,2803,1103,5882,32804,43510,19506,637111,41,830,45775,1468,10498,21808,18774,1436,2045,16742,72898,2420,230,35,5609,2453,1582,26654,6579,0,0,27957,4142,2355,7976,21829,3763,8404,6749,31494,1422
southafrica,10540,1203,178,0,821,573,799,2467,1935,378,821,384,230,340,10794,14846,7345,6521,4146,0,2901,11790,756,3049,3227,1700,1644,6879,904,1799,400,0,44,37,7772,217,916,2088,2141,6361,0,818,1879,1859,340,3885,702,8175,15823,8
spain,503,22086,17887,155,1313,23525,101089,82806,80346,10927,95333,13017,3878,6243,693870,767251,65406,2255,1126,18985,5460,29541,1369794,96936,12956,3826,4598,256217,7367,372320,29806,293,3221,10512,138947,1791447,273459,5077,21642,5950,1515,0,7722,137704,19732,12815,81936,338367,507330,12658
sweden,18757,144031,48070,2003,9384,2350,134728,1869,32905,7214,5660,816027,569,269185,255078,890263,7767,6041,4622,13891,6184,10968,52895,159803,30020,3986,43654,126267,15323,9766,105128,3201,4223,1345,74896,2770,782,8371,788,3785,12027,92732,0,175946,10310,3291,4250,658497,3074941,1836
switzerland,11494,33316,51103,872,12592,24396,9814,4635,49975,739,2848,5003,3748,3926,131872,870807,43330,6914,2084,20356,3549,3148,61895,127483,7648,3909,7383,12069,3331,1326,7567,7099,6071,8123,4908,1695,638,10162,2627,18509,4213,4625,6489,0,2993,12827,7077,58177,426760,5434
thailand,8165,29119,1759,544,428,15813,21490,163235,79871,24197,26423,2070,5230,5616,2606,323060,19547,2279,994,15851,1152,23757,2030,123887,41400,12272,17479,21774,12186,8820,24931,161,47740,11275,662,288,372,5571,571,10918,4500,4743,864,6926,0,1676,10562,22028,773016,50184
turkey,14444,5086,5250,743,586,9648,70262,26692,28745,11999,14744,13270,253,15652,27632,498645,6719,724,555,235,2358,30276,40211,24886,57499,9629,1808,62283,8631,4280,5687,62,9936,1637,9196,5037,4157,3733,835,2056,963,10958,6453,21277,2025,0,12270,43981,170776,10591
unitedarab,640,839,29267,4032,10378,458,1488,1164,45872,57,3084,570,11380,1440,33928,38462,13431,9419,30472,260073,31172,73000,2124,9710,18109,2935,20518,4237,789,113923,11106,869,0,744,4394,386,46,2544,454067,138049,36235,5779,4953,13427,6088,20006,0,19789,26293,7177
unitedkingdom,5296,278353,49759,3206,122059,12837,205449,10072,164862,5785,159667,32764,1425,110933,1282759,3945474,103024,13612,19370,4519,317461,240236,113975,328069,145121,17886,5374,152068,63266,14150,69424,294,8381,1723,78698,36617,43073,34543,53808,94818,13153,207152,105370,520656,12844,9167,27594,0,1802903,2666
usa,119497,4036202,176176,22028,574076,554372,6507524,1092628,3872219,152026,438591,187477,5692,437911,3102424,5969475,2797478,194091,1439224,0,219797,594356,975902,9490564,2523943,201867,1885710,6035984,510832,6898,601053,1111,182671,83077,650313,73967,42985,698560,34318,1196259,113366,770538,818618,1148709,590144,193749,207838,5283515,0,54550
vietnam,34833,99908,1303,0,76424,75712,32262,10947,25575,3800,5052,7144,7455,507,76104,78914,6834,15747,20185,0,25299,12495,76612,436894,31160,12409,10176,41682,2916,0,21907,1626,20602,34935,8916,16929,2558,14741,0,40099,8143,60816,23792,919,5459,9619,5636,119694,871903,0
